id,text,title
153,dvia dassault zenobank systemes dasty company consumer quotesearch composer http market product tour partnership earth quick brand create studio symbol launched profile modeling publicis virtools democratize seemage dviacom usubmit tmcnet dswym development user morefootnotes groupe virtual technology marketer concord businesswire aiding game graphic infobox_company integrator umbrella provides video microsoft online unveils software platform public brings slogan time lifecycle num_employees fortune company_logo bringing index accessdate company_name realistic key_people bernard high assembled hosting operates gaming announces website model billion establish paris article extend rendering acquisition comprehensive animation massachusetts shape reality corporate located significantly cite france entertainment producing mass staff category page stated,3dvia
159,saturn atmel bit microprocessor congressional hexadecimal intel marc calculator district classified hpmuseum tlc binary necel octal cadc tomcat processor central bitový architektur architektura bitowa transmitter toshiba iowa microcontroller basically mature pocket navy emergence series numeral infrared single product decimal addressing commercially redirect recommended digit micro expand chip existence mass circuit footnote string remote wikitable http compu core market storage scientific commonly integrated unit memory section word date create october written machine processing multiple value created united class world possible control design available list different like state technology stub information data number application year software html external link reference flavored flavio,4-bit
165,cap cognitive varma cortical architecture capacity carpenter region marcel neuroscience behavioral ccbi brain soar imaging computational affective epic reveals psychological tower lisp task cognition dynamically particular assumption thinking center constraint functional london christiansen parietal sashank thibadeau model production saturated frontal fmri reading review complex organization working limited comprehension macdonald tasking memory newman resource reply activation specific processing area driving participation perception balanced index mellon simultaneous carnegie common stress mental carrying constrained rotation differs hybrid concurrent like dual performing successor bandwidth notably responsible planning solving collaboration phenomenon identified limitation characteristic contribution laboratory based corresponding computation modeling channel course overview perform especially,4CAPS
183,processor architecture register address intel memory operating bit release powerpc mips integer data microprocessor code pointer version driver space application support window microsoft system model alpha device long apple itanium mainframe solaris type machine core mode software risc supercomputer floating sparc workstation instruction size cray pentium virtual wide extension compiler programming limit compatibility isaiah unicos atariage server physical accessdate launch zseries power unix ultrasparc hardware fujitsu mac date computing introduces mapped http cite number based graphic publisher elxsi compiled nintendo ship nowrap corporation java line kernel point microsystems title linux user athlon jaguar problem high environment technology native phenom digital,64-bit
189,tunnel endpoint protocol packet heartbeat tunneling proto transition configured header mechanism address router sixxs aiccu setup encapsulation static byte debian configure number network dynamic method internet traffic discovery host colitti gilligan loophole ingres pelt nordmark tundisco tunneldiscovery obsoletes ayiya ossetup patrignani uniroma compunet debianipv http inject massar battista migrating facilitating authenticity information iana security generally making retrieving ipsec statically fragmentation encapsulate spoofing incoming ref injection translator exploited connectivity magic discover transparent tool overhead designated feature filtering verification bell carried partially sending solved compute assignment called manually ethernet mentioned forward explicitly lab immediately transmission send translation implementing signature secure example maximum,6in4
196,intel zilog microcontroller bit compatible microchip motorola cpu freescale microprocessor binary processor congressional octet district technology operation console data access single embedded widely all_ vasm bitars arkitekturo basis atmel bita necel address commercial bitový architektur modernized game architektura kibibyte bitowa architecture computer hobbyist iowa calculator assembler incomplete decimal ubiquitous developed redirect coded intelligent partially micro terminal harvard adopted classified exception competitor opposed system normally variant length instruction intended character natural oriented late generation started today family originally running limited unreferenced word video home space october mean machine operating early value series similar free possible product common history list source type,8-bit
203,rouv rouvs underwater recon salvage chinese hysub china shipbuilding meter submarine rescue institute military engineering operation vehicle node liberation manipulator completed depth class version improved capable people designer mission autonomous commercially develop army offshore shjtu shenyang hust ametek trial operating operated compartment tether harbin drilling operate oceanographic general american shanghai unmanned perry available canada civilian remotely needed steel based earlier award navy inventory corporation market advancement capability requirement service commission technological http republic entered industry university subsequently built special adopted technology operational performing automation designed achieve despite half international maximum developed primarily cruising sinking deng newweb hrbeu domestically huangnan xsky,8A4 class ROUV
204,photoshop plugin file raster plugins editor adobe program format helicon graphic corel paint shop photography mini support opened known opening stub modify filter multimedia photo parent specifically intended comparison generally unreferenced designed february digital issue including type like defaultsort image category software date flavored flaw flavour flavor flesh fletcher flawless flemish fleming flektor fleishman fleischner fleischmann fleischer fleischaker fleetingly fleet fleeing flee fledging fled flayer fledged flatbush flavio flaunt flashcs flashcomponents flashcard flashblock flashback flash_bug_repor flash flas flarge flare flapping flap flange flammable flamingo flamewar flame flashdevelop flashed flashing flask flaubert flatulent flattery flattering flatter flatbed flat flashtype flashmagazine flashtogo,8BF
214,math node heuristic path search algorithm cost goal admissible queue came_from distance openset priority dijkstra start incremental g_score nilsson current_node optimality optimal hart lower pearl consistent h_score graph judea value optimistic star estimate raphael segment journal best fewer shortest closedset admissibility f_score neighbor nil implementation tie true closed finding function estimated length performance generalized coauthor traversed return pseudocode cite planning considers year edge open us straight denoted strategy artificial heap title guaranteed denotes time efficiently likhachev алгоритм furcy pathfinding yaxin initial intelligence example lowest actual koenig bertram straightedge lifo algoritmo overestimate greedy sven expand higher depth point possible dechter norvig,A* search algorithm
222,newton richard berkeley melbourne engineering california australia university dean death professorship dy victoria pederson flag australian arthur professor eec electronic cancer accessdate college francisco honcausa execserv distinguised unimelb edacafe recipien birth http category donald united publisher technology title visionary pancreatic chancellor cite spice academy appointed state engineer award news nowiki established scientist member date awarded pioneer alumnus image shtml faculty circuit electrical persondata presentation design gardenvale amrita neris unid birgeneau naepub petra page_no eeafae view_article vibrancy html toughest kaufman entrepreneurial carlson department degree opendocument honoris expatriate nagel kauffman herald chaired causa american national archive morning married colleague medium obituary enormous,A. Richard Newton
226,unix macintosh finder apple operating command version kernelthread user kernel screenshots application server included jagubox preterhuman oshistory centris pmmu paged commandshell interface quadra penelope unit system feature function program called released faq toolbox line mirror hybrid curve terminal memory floating computer http compatibility choose layer comp software macx pple jagielski commando christtrek quickdraw svid dyndns proprietary html abandonware rumored nextstep extinct applefritter computing singh reliance amit administered rumor running preferring official window aside onward netscape monolithic newsgroup decline based release machine working_state source_model customized kernel_type later management posix jpeg dmoz dialog unofficial point porting adaptation powerpc nasa control isolated abandoned,A/UX
227,gate address memory line physical processor wrap byte mebibyte segment offset intel access mode virtual addressing ffff area handler named program boot mapped fffff shanley himem controlling operating keyboard microprocessor protected high architecture space manager software transmit actually motherboard pointing disabled added slow opening real controller decided register enabled early change need closed close control combination equal process linea exemplary swindle aaaf gibibyte functionality method logic storage longer linux plethora cared toggling bootup mainboard significant step make asserted disconnecting disables originally settled freeing transmits modern config referencing kibibyte translates irrelevant compatibles range typically arguably dramatic example allow transferring external intercept,A20 line
228,satellite lockheed martin band orbit geosynchronous spacecraft lockheedmartin skyrocket globalsecurity space spacedaily service frost launched payload communication sullivan award reliability broadcast reliable flexible series mobile customer niskayuna sky echostar skunk telesat doc_sat windsor commercialspace lockheed_a totalled americom underpinnings astra jsat including cablevision stretched ace team fulfills astro dish unmanned pete built davy press_release keith http wise fleet stewart achieves news excellence html jersey substantially broadband wilson configured delivery design architect modular delivered east earth brian vehicle version helped spectrum fewer successfully weight military corporate enhanced located additionally reduced year facility close frequency fixed highly received production corporation configuration direct lower,A2100
232,assembler whichasm isaacson debugger window khalil eric assembly road platform syntax code keromyti asmtools sihan hydan icics angelos malaga eiji rakan unregistered proprietary file source springer javier hyde okamoto qing science cite randall language lopez webster hiding functionally microsoft software embed title companion spain optimize britain us accessdate programming redirect http author registered disambiguation distinguish compact simpler microprocessor slightly template england information signature lecture category intel maximum target optimization compatible choice great instruction time equivalent chapter automatically proceeding binary screenshot speed genre come commercial generated produce best family editor directly caption conference license security required official business communication medium simple,A86 (software)
244,tree level skew node right left split black andersson return should_be horizontal deletion leaf insertion child delete rotation arnea rebalanced value balanced binary search function insert simp link performance balance predecessor successor shape representing root output input validity decrease_level bstlib implementor trijezdci implementation arne http subtree retrieving case procedure removal need skip balancing recursive necessary code result decrease maintaining pointer user strictly instead maintenance approach creates operation html parent algorithm image structure faster normal performed greater unlike consider note given easy internal behavior julienne unwinds subchild educating elevate flatter rebalance aatree datastructures dsaa_c whim grandchild searchproc treaps tuts visual entire,AA tree
258,abinit density nanohub physic software rignanese mikami verstraete beuken gonze caracas ghosez zerah jollet raty perturbation torrent charge free theory nucleus allan functional package dynamical electron molecule quantum chemistry solid matrix born graphical body zkri veithen godby onida atypon sindic kristallogr pouillon olevano bruneval pseudopotential hamann reining detraux force computational crystalline excited dielectric category fuchs resource tensor physicist comput main periodic optimize stress atomic electric calculated http computed program wave molecular version approximation plane state stub installation mechanic dependent science effective energy geometry utility generate simulation based easy option basis configuration perform total portal dynamic electronic distributed according provided license,ABINIT
260,accounting evansville ltnow able programming pengaturcaraan bahasa language sigplan foldoc proc refend refbegin simplified notice targeted contact listed manual lang compu domain center march november specific reference available stub defaultsort information data application category software html http flawless flesh fletcher fleetingly fleur flayer flew flavour flaw fled flemish fleet fleming flektor fleishman fledged fleischner fledging fleischmann fleischer flee fleischaker fleeing flatulent flavored flashing flashdevelop flashcs flashcomponents flashcard flashblock flashback flash_bug_repor flash flas flarge flare flapping flap flange flammable flamingo flamewar flashed flashmagazine flavor flashplatform flavio flaunt flaubert flattery flattering flatter flatbush flatbed flat flask flashtype flashtogo flashterm flashsupport flashpro flashpoint,ABLE (programming language)
263,absys declarative programming abset intell aberdeen anticipated foster prolog mach assertion incremental foldoc edinburgh language compiler press early feature university defaultsort number reference category fleetingly fled flayer flawless fledging flee fleeing fleet fledged ﻣﺘﺰاوﺟﺔ fleischaker fleur flexio flexible flexibiltiy flexibility flexflashforum flex flew fletcher fleischer flesh flemish fleming flektor flaw fleischner fleischmann fleishman flavor flavour flash_bug_repor flashing flashed flashdevelop flashcs flashcomponents flashcard flashblock flashback flash flavored flas flarge flare flapping flap flange flammable flamingo flashmagazine flashplatform flashplayer flashpoint flexlibrary flavio flaunt flaubert flatulent flattery flattering flatter flatbush flatbed flat flask flashtype flashtogo flashterm flashsupport flashpro flexisign flicker flexmonster flowed fluctuating,ABSYS
267,complexity parity circuit gate descriptive furst saxe fanin hierarchy class uniformity sipser polynomial math equal displaytitle immerman dlogtime describable logarithmic family input viewpoint theory calculating smallest bounded alternatively turing unlimited showed compute uniform depth decided ndash operator follows time logic springer consists contains addition allow machine size reference order language system category page floor flattery flavored flavor flavio flaunt flaubert flatulent flattering flowing floyd flatter flatbush flatbed flat flask flowware flavour flow flee fleischer flowed fleischaker fleetingly fleet fleeing fledging flowid fledged fled flayer flawless flaw flowerdew fltplan flashtype flashtogo fluidic fluida fluiddynamics flashcard flashblock fluides flashback flash_bug_repor flashterm flash,AC0
268,converter voltage matrix current phase inverter link conversion waveform power energy topology sinusoidal indirect main element storage motor stage frequency capacitor proceeding braking kolar electrolytic cycloconverter direct rectifier variable intermediate thumb output input modulation electronics sept drive coupling ieee employing speed image switching bridge anti quantity approximately conventional achieve classification transaction circuit large relatively high kuusela cycloconverters sinusoid minari direktumrichter bierhoff salo kiln lipo elektrie friedli pelly phace itoh holtz boelkens gyugyi pemc popow krismer irisa norpie shinohara thyristor ipec takahashi ieej tuusa sinusförmiger poznan iecon source feeding decoupled commutation adjustable inductor higher changer resistor cement compressor aalborg provided system,AC/AC converter
273,device monitor firewire plugged pin connector mouse speed kbit standard slave master host allows access motherboard battery single protocol support philip additional standardized defined power keyboard controller chip driver layer compared interfacebus available outside inside mode advantage neatly strung like cabling vesa clutter physical included joystick locator pushed emulate downside hub daisy niche disappeared bus needed backing provide machine signaling interconnect time circumstance promoted similar appearing pointing slower considerably attractive reserved order clock selecting modem printer communicating peripheral setup remained fashion cable heavily leave chain dual plug communicate add notably largely corporate price serial significantly stack soon driven camera mdash,ACCESS.bus
289,subtopics classification computing section group list subject logic structure class version science system area contains level cover includes computation information coded rwth corr ceur pertains coulter processing uncoded subcategory aachen editor methodology data neal performance mathematics subcategories miscellaneous descriptor engineering software humanity http storage theory symbolic tuning application retrieval arxiv denotes reliability organization unit title repository encryption computer communication citation coding machinery register implementation current concern arithmetic literature simulation artificial journal general formal transfer wierzbicki glinert moniz ccsup haemmerlé ephraim coarser eklund rous subjectclasses nascimento acmccs rada rodkin milieu susana ralston mirkin history topic intelligence proceeding category complexity abstract representation,ACM Computing Classification System
292,xrds crossroad magazine student machinery staff makeover editorial association computing author harrison title publisher accessdate quarterly year issue editor career summer article chris chief publication cite http reader fall inaugurates contemplating saveen image_alt cavanos image_file previous_editor lynellen firstdate officialb staff_writer illustrious cranor editor_title website experience revamped submitting burgeoning lorrie aboutus reddy stevenson start edition cousin omit unsolicited perry published archive image_caption communication targeting electronically circulation text faith submission redesigned internationally image_size access accepts field pseudo jerry advice quarter titled valuable prefix acronym undergraduate reflect newly headquarters term guideline breaking convenient interesting targeted focused graduate voice science summary issn information extra,ACM Crossroads
295,icpc university contest final team world petersburg baylor state align russia optic institute mechanic collegiate shanghai united programming maintained center flag competition fine regionals regional championship medal warsaw hosted http tong held gold competed jiao problem international saratov technology country saint canada china judge winner student waterloo hotel accessdate round poland acmsolver algorithmist jiaotong kurniady title compete region cite prague igor elimination california online stanford solving czech tokyo rejected steven blue sweden louis lviv icpcwiki algorith codechef andrian earthtimes upsilon banff codeforces directi submitted participant sunysb halim tsinghua massachusetts continent prod harbin machinery missouri training solve information representing washington alberta,ACM International Collegiate Programming Contest
297,portal bibliographic guide database online machinery library digital gerogia xplore computing association libs category article science bibliography literature million ieee proceeding core magazine entry subject collection conference section resource published text main service http project research university reflist reference flawless fledged fled flayer fluidised flaw flee flavour fluidization flavored flavor flavio flaunt fledging fleetingly fleeing fleet fletcher fluida flesh flemish fluiddynamics fleming fluides flektor fleishman fleischner fluidic fleischmann fleischer fleischaker flatulent flaubert flow flattery flashback flashing flashed flashdevelop flashcs flashcomponents flashcard flashblock flash_bug_repor flattering flash flas flarge flare flapping flap flange fluidos flashmagazine flashplatform flashplayer fluent flatter fluidized flatbush flatbed,ACM Portal
299,sigact symposium sponsored jointly award podc libra computing prize citeseerx stoc soda venue dijkstra conference theoretical colt algorithm eatcs principle sigops popl pod theory machinery distributed science edsger workshop paper outstanding association foundation news annual contribution kanellakis lewin humanitarian demonstrable analco alenex spaa conf_category_ lawler ieee focs browse_dl socg msra best practice society sponsorship unrestricted stats gödel danny special siggraph accomplishment http online parallelism webpage combinatorics sponsor eugene knuth analytic quarterly siam publishes newsletter group distinguished informatics donald cited paris experiment conjunction committee joint discrete listed impact print industrial geometry electrical electronics factor highly computation engineer held learning student significant,ACM SIGACT
300,siggraph graphic organization machinery conference chapter professional association publication annual founded mainblog pôle graphisme volunteerism sicgraph convenes andries wiki infographie computing special passion http periodical ten reception attended andy sponsor disciplinary excellence quarterly sponsored integrity group decade reflection predecessor pioneer thousand transaction stated regular interactive earlier held cross interaction compu country direct student blog established personal event york category technique value world website program stub defaultsort year reflist based external link reference fled filtriranje fleur fleischmann flavour flaw fleischer flawless fleishman flayer filtre fleming flektor fledged fledging filtrage fleischaker fletcher fleischner fleeing fleet fleetingly flesh flemish flee finanzwelt flavored flavor,ACM SIGGRAPH
308,acord insurance nonprofit industry accomplishment abroad cooperative recorded huge commerce form transmitted standardized maintenance claim widely association electronic organization resource operation publication object related library developer united standard development research known state technology information external link http category flawless flayer flaw flavour flavored flavor flavio ﻣﺘﺰاوﺟﺔ fledging fled fledged flee fleeing fleet fleetingly fleischaker fleischer fleischmann fleischner fleishman flektor fleming flemish flaunt flashtype flaubert flare flashcard flashblock flashback flash_bug_repor flash flas flarge flapping flashcs flap flange flammable flamingo flamewar flame flajolet flashcomponents flashdevelop flatulent flashtogo flattery flattering flatter flatbush flatbed flat flask flashterm flashed flashsupport flashpro flashpoint flashplayer flashplatform flashmagazine,ACORD
317,aggregate exogenous supply curve demand labor price shift keynesian model increase wage economics spending level real thinkeconomics capital money nominal economic employment market stock variable event output decrease tax firm math effect equilibrium equation theory direction long eastern government vertical technological macroeconomics macroeconomic tổng whitenova modelis sparknotes skott amitava dutt emanating mi_qa explains levied affect ai_n component graph frame findarticles supporter short rate investment following knowledge opposite right case physical population includes progress negative http positive expected change influence interactive potential general vector time peter palley interventionism equilibrate exogeny ingrimayne endogenous laissez econ schenk hình inflationary disequilibrium monetarist modell cung,AD-AS model
321,adapa pmml predictive zementis analytics model excel amazon cloud rule converter score decision gadget data decisioning business expressed drool guazzelli regression http convert newsletter engine scoring mining manage allows older version service zoey multinomial igoogle adapasupport zeller automatically jboss sigkdd logistic able support standard statistical available real video file buying automated deploy site modeling linear logic open schema markup exploration executing batch issue code deployment currently youtube time validation power offering executed combine relevant application vendor call efficient enterprise software tree tool describes private give containing process summerian kxen nisbet rjournal_ dsecv createspace concretization spss gmodules moduleurl voila twoinone unleashing,ADAPA
352,agricola agriculture usda agricultural united database aboutagricola agricultrual farming nal_display tax_level info_center tax_subject catalog topic_id riley department state index science allied bibliographic food animal earth national library title p_dates p_title aquaculture entomology geospatial fishery forestry extension veterinary audiovisual english help nutrition http temporal access field accessdate indexed journal coverage producer environmental plant serf covering economics publisher depth cite discipline daily issn language maintained provider education update abstract country html cost wide present human variety collection caption provides online publication public format created infobox reference free history book including stub defaultsort information number system image category external link flee flash_bug_repor flaw,AGRICOLA
357,future dartmouth paper brief intelligence machine http intelligent reasoning journal nil html abstract polling coherence artificial conference nilsson langley accessdate springerlink solomonoff mind cite year eric quote mccarthy anderson russell title learning bringsjord selmer challenge ghost self kurzweil volume question brook ethic susan issue representation month darpa human progress stuart storrs trenchard selfridge steinhart leigh minsky content past present moor norvig submitted college marvin page aaai schmidt survive approach system oliver news vision agent ethical argument field authorlink hall selected cognition kopec hinton turkle brachman thagard thórisson grimson marcello kristinn bundy rissland kaelbling horvitz sejnowski guarini daniela logicist john model,AI@50
358,aibo robot sony robocup aiboware sonyinfo latte tekkotsu soccer model convention legged toolchain robotic owner black pet robotics http league humanoid generation open white silver autonomous press_archive aiboworld macaron aibos aiboplus qrio uchilsim pyro champagne sorayama electronicpets estimated artist cream urbi competition commercial japan brown entertainment sale ubuntu mature team tool life design competing able category japanese november environment institution vision thumb free blue forum body developed date updated code kertesz cybie roblog urbiforge aibopet newlib ntelligence moshino shinjuku nobukazu clinic notice_ presen clinic_info aibokids pleo takemura dasarobot asimo homonymous qfhh hue csaba moma pyrorobotics prefecture linn rtificial katsura articulator,AIBO
369,shogi game nintendo board video japan released ai将棋 vgrelease vgratings esrb nihongo videogame playstation multiplayer company standing rating exclusive japanese portable category recently player artificial cover engine intelligence mode genre requirement virtual unreferenced september medium platform developer infobox december single file version publisher stub image title date flavio flaunt flaubert fledged flavor flavored flavour flaw flawless flayer fled flattery fledging flee fleeing fleet fleetingly fleischaker flatulent ﻣﺘﺰاوﺟﺔ flattering flap flashback flash_bug_repor flash flas flarge flare flapping flange flashcard flammable flamingo flamewar flame flajolet flagship flago flashblock flashcomponents flatter flashsupport flatbush flatbed flat flask flashtype flashtogo flashterm flashpro flashcs flashpoint flashplayer,AI Shogi 3
372,ajax javascript ajaxoop parent class object operator library constructor oriented method super property paradigm access documentation engine programming instanceof workable functionality exemplar accessor instantiating neologism style license defined special component aggregation inherit create override november aggregate need strict category scalable code source notability defining coding downloads handling request strong native syntax child software programmer fast define creating http easily providing download primary core self extended portal distributed framework additional google official date implementation allows created main free open website list feature project including like defaultsort external link flatter flattery flourished flatulent flattering floattostr flourish flaubert flee fledging fledged flotsam fled,AJAX.OOP
374,akari nict architecture project network design generation seventh tokyo future programme conceptual university keio geni impeded kiss technology come stupid institute framework osaka sustainable researching internet pursue slate denoted pointing evolutionary dark clean ideal extent designing innovation japanese aim japan reality famous matter identified launched philosophy constraint strong facility networking developing describes light creating build relationship global connection existing principle supported produced fact major member word national solution communication simple environment concept mean june small company similar large index http book information category based external link reference flashtogo flask flashtype flight flashterm flashsupport flashpro flashpoint floatval flowchart floattostr flat flatbed,AKARI Project
